Psoriasis,"Plaque,Erythema,Xeroderma",dermatology,general,no,no
"Puberty,Delayed","Dyspnea,Sputum,Chronic cough,Asterixis,Tachypnea,Cyanosis,Wheeze,Barrel chest,Pursed lip breathing",endocrinology,general,no,no
Renal Aminoacidurias,Fatigue,Endocrinology,general,no,no
Restless Legs Syndrome,"Urge to move,Motor restlessness,Vague uncomfortable sensations",psychiatrist,lower part,no,no
Rheumatic Diseases,"Joint pain,Vasculitis,Anorexia",rheumatology,general,no,no
Rheumatic Fever,"Heart failure,Joint pain,Sydenham's chorea",rheumatology,general,no,no
Ringworm,"Erythema,Scaly skin,Blister",dermatology,head,no,no
Rosacea,"Ocular rosacea,Erythema,Rhinophyma",dermatology,"general,head",no,no
Schizophrenia,"Dysphoria,Thought insertion,Avolition",psychiatrist,general,no,no
Severe Acute Respiratory Syndrome,Fever,otorhinolaryngology,head,no,no
Sexually Transmitted Diseases,Fever,"infectious dissease,gynaecology",lower body,no,no
Sinusitis,"Nausea,Nasal congestion,Fever",otorhinolaryngology,head,no,no
Skin Cancer,"Skin ulcer,Skin lesion,Melanocytic nevus","dermatology,oncology",General-Skin,no,no
"Sleep Disorders,Circadian Rhythm",Sleep apnea,psychiatrist,general,no,no
Stomach Cancer,"Bleeding,Bloating,Nausea",oncology,lower body,no,no
Streptococcal Infections,"Nausea,Abdominal pain,Malaise",infectious disease,general,no,no
Sunburn,"Warm skin,Erythema,Pain",dermatology,general,no,no
Syphilis,"Lymphadenopathy,Mouth ulcer,Fever","infectious dissease,gynaecology",lower body,no,no
Tennis Elbow,"Pain,Joint stiffness,Fever",orthopedist,"arms,upper body",no,no
Testicular Cancer,"Swollen testicle,Lumbago,Painless testicular lump",urology,lower body,no,no
Tuberculosis,"Dyspnea,Chronic cough,Night Sweats",immunology,general,no,no
Tyrosinemias,"Dysuria,Anorexia,Back pain,Abdominal pain,Hematuria,Frequent urination","internal medicine,osteoporosis",lower body,no,no
Urinary Tract Infections,"Urethritis,Urinary urgency,Dysuria",urology,lower body,no,no
Varicose Veins,"Heavy legs,Restless legs syndrome,Stasis dermatitis",vascular surgery,legs,no,no
Vertigo,"Nausea,Vision disorder,Muscle weakness,Difficulty walking,Vomiting,Syncope,Decreased level of consciousness",neurology,head,no,no
Yellow Fever,"Bleeding,Nausea,Jaundice,Back pain,Fever,Constipation,Headache,Chills",immunology,general,no,no
